TITLE="mean" 
Variables="X","Y","Z","VX","VY","VZ"
ZONE T="0", I=289, J=214, SOLUTIONTIME=0
9.48717 -42.1423 35.0 268.995788789 -6.17090492593 4.69758433423
9.82059 -42.1423 35.0 269.144354354 -6.21237572755 4.71342711704
10.154 -42.1423 35.0 269.183886887 -6.42047367637 4.64510105787
10.4874 -42.1423 35.0 269.224091091 -6.38295955736 4.67266443393
10.8208 -42.1423 35.0 268.977970971 -6.43973176954 4.70656175604
11.1542 -42.1423 35.0 268.834827828 -6.44978043371 4.68389221341
11.4877 -42.1423 35.0 268.795924925 -6.36839566615 4.66708555712
11.8211 -42.1423 35.0 268.973223223 -6.36753550277 4.72495015696
12.1545 -42.1423 35.0 269.136826827 -6.30770357949 4.69334774088
12.4879 -42.1423 35.0 269.135914915 -6.4250719964 4.63415661312
12.8213 -42.1423 35.0 269.040945946 -6.34450598889 4.65688596166
13.1547 -42.1423 35.0 269.052985986 -6.35747534244 4.54307522964
13.4881 -42.1423 35.0 268.918358358 -6.32395636173 4.51678416669
13.8216 -42.1423 35.0 268.926715716 -6.30684872843 4.51740120589
14.155 -42.1423 35.0 268.923673674 -6.36451545095 4.48510050682
14.4884 -42.1423 35.0 269.050690691 -6.33825287855 4.51451302492
14.8218 -42.1423 35.0 269.2144004 -6.39757020147 4.56208387848
15.1552 -42.1423 35.0 269.371384384 -6.4086632994 4.5557551118
15.4886 -42.1423 35.0 269.330326326 -6.4192945292 4.47852146478
15.822 -42.1423 35.0 269.159443443 -6.21047170454 4.47504205047
16.1554 -42.1423 35.0 268.908974975 -6.21514067075 4.58541496303
16.4889 -42.1423 35.0 268.949128128 -6.41798748438 4.60184413033
16.8223 -42.1423 35.0 269.253059059 -6.39663231662 4.60947183103
17.1557 -42.1423 35.0 269.432847848 -6.49965810841 4.58820672302
17.4891 -42.1423 35.0 269.477571572 -6.38487442743 4.57577378398
17.8225 -42.1423 35.0 269.278138138 -6.35861270234 4.53610405045
18.1559 -42.1423 35.0 269.143886887 -6.48532191031 4.51922576467
18.4893 -42.1423 35.0 268.983051051 -6.40556336711 4.51333310426
18.8228 -42.1423 35.0 269.000914915 -6.37405798238 4.49624480004
19.1562 -42.1423 35.0 269.068327327 -6.33587170731 4.57301504386
19.4896 -42.1423 35.0 269.329335335 -6.4104017973 4.48590137427
19.823 -42.1423 35.0 269.369327327 -6.60358875583 4.50777823577
20.1564 -42.1423 35.0 269.332825826 -6.56207238589 4.53822751271
20.4898 -42.1423 35.0 269.210223223 -6.37620369302 4.55557256937
20.8232 -42.1423 35.0 269.162994995 -6.31911223215 4.52226324196
21.1567 -42.1423 35.0 269.18552953 -6.46400930921 4.43386077104
21.4901 -42.1423 35.0 269.164871872 -6.44073551167 4.43964337918
21.8235 -42.1423 35.0 269.291818819 -6.37056336376 4.542515799
22.1569 -42.1423 35.0 269.41056957 -6.45546327951 4.52329314062
22.4903 -42.1423 35.0 269.473153153 -6.40192057361 4.49194199741
22.8237 -42.1423 35.0 269.485621622 -6.34257491982 4.43684965373
23.1571 -42.1423 35.0 269.332087087 -6.30994221035 4.43115542322
23.4906 -42.1423 35.0 269.263597598 -6.37071604585 4.44040691613
23.824 -42.1423 35.0 269.238526527 -6.33379795283 4.39615277237
24.1574 -42.1423 35.0 269.224875876 -6.39062902151 4.37458841638
24.4908 -42.1423 35.0 269.400121121 -6.40742675485 4.44601977898
24.8242 -42.1423 35.0 269.436107107 -6.42379953644 4.50328030019
25.1576 -42.1423 35.0 269.547127127 -6.52700973417 4.38084594776
25.491 -42.1423 35.0 269.541192192 -6.38718435185 4.30892241752
25.8244 -42.1423 35.0 269.399888889 -6.3097160641 4.34742757217
26.1579 -42.1423 35.0 269.413910911 -6.37379560412 4.45380925364
26.4913 -42.1423 35.0 269.500396396 -6.45028739449 4.41323174315
26.8247 -42.1423 35.0 269.41031031 -6.27392053463 4.44101235337
27.1581 -42.1423 35.0 269.539654655 -6.31719453637 4.41835372623
27.4915 -42.1423 35.0 269.680366366 -6.33796771241 4.44073736006
27.8249 -42.1423 35.0 269.585468468 -6.13853739582 4.49172493824
28.1583 -42.1423 35.0 269.466540541 -6.14739594798 4.50934003183
28.4918 -42.1423 35.0 269.392295295 -6.17217288435 4.52776246436
28.8252 -42.1423 35.0 269.300439439 -6.25293358952 4.51177644856
29.1586 -42.1423 35.0 269.476241241 -6.20314174535 4.46850588482
29.492 -42.1423 35.0 269.516091091 -6.25447151481 4.44200563392
29.8254 -42.1423 35.0 269.522441441 -6.33102783571 4.42841444696
30.1588 -42.1423 35.0 269.504401401 -6.4092961038 4.45894224474
30.4922 -42.1423 35.0 269.549188188 -6.46096414443 4.41887059768
30.8257 -42.1423 35.0 269.503557558 -6.36611753806 4.37718239529
31.1591 -42.1423 35.0 269.445504505 -6.40109449527 4.39298687097
31.4925 -42.1423 35.0 269.398369369 -6.48353982165 4.45669256066
31.8259 -42.1423 35.0 269.524429429 -6.34992551582 4.38665703303
32.1593 -42.1423 35.0 269.575087087 -6.0522104004 4.46179365676
32.4927 -42.1423 35.0 269.559341341 -6.03484633638 4.46644556812
32.8261 -42.1423 35.0 269.605796797 -6.16752329359 4.36201507816
33.1596 -42.1423 35.0 269.588567568 -6.2785114989 4.29449934685
33.493 -42.1423 35.0 269.488079079 -6.36571545766 4.29643697327
33.8264 -42.1423 35.0 269.509593594 -6.44855377923 4.39220252603
34.1598 -42.1423 35.0 269.592791792 -6.36113589279 4.36615434971
34.4932 -42.1423 35.0 269.543132132 -6.41087031386 4.25869894384
34.8266 -42.1423 35.0 269.639936937 -6.38081617209 4.16485060985
35.16 -42.1423 35.0 269.728958959 -6.25159153513 4.13344543575
35.4934 -42.1423 35.0 269.676357357 -6.39750010182 4.17347814815
35.8269 -42.1423 35.0 269.629955956 -6.47964438194 4.21817551532
36.1603 -42.1423 35.0 269.618002002 -6.50860835656 4.23554662818
36.4937 -42.1423 35.0 269.605533534 -6.42525321287 4.26250223634
36.8271 -42.1423 35.0 269.650287287 -6.42828336807 4.25079443964
37.1605 -42.1423 35.0 269.749325325 -6.36622442074 4.27657519492
37.4939 -42.1423 35.0 269.76982983 -6.26176801047 4.31145334898
37.8273 -42.1423 35.0 269.82884985 -6.29914051191 4.29528382612
38.1608 -42.1423 35.0 269.797966967 -6.42508547528 4.36220508204
38.4942 -42.1423 35.0 269.808522523 -6.57855597571 4.33358922526
38.8276 -42.1423 35.0 269.720936937 -6.50853908799 4.30635113683
39.161 -42.1423 35.0 269.818880881 -6.21166267375 4.19409257528
39.4944 -42.1423 35.0 269.861911912 -6.14581994722 4.20733749152
39.8278 -42.1423 35.0 269.79808008 -6.15558089705 4.28027645223
40.1612 -42.1423 35.0 269.791316316 -6.2422172047 4.27002293433
40.4947 -42.1423 35.0 269.880356356 -6.34620184138 4.25920696086
40.8281 -42.1423 35.0 269.84818018 -6.28387583063 4.3162182961
41.1615 -42.1423 35.0 269.731755756 -6.26554512342 4.32281296456
41.4949 -42.1423 35.0 269.787405405 -6.30943283936 4.24583363946
41.8283 -42.1423 35.0 269.802195195 -6.30704102292 4.21177293594
42.1617 -42.1423 35.0 269.892004004 -6.18990207336 4.29406087638
42.4951 -42.1423 35.0 270.051692693 -6.29317691782 4.3445242229
42.8286 -42.1423 35.0 270.006016016 -6.34288662452 4.3938655827
43.162 -42.1423 35.0 269.985312312 -6.37238096211 4.31976889588
43.4954 -42.1423 35.0 269.983765766 -6.39197585916 4.26824603043
43.8288 -42.1423 35.0 269.92613013 -6.3398358034 4.22092946211
44.1622 -42.1423 35.0 269.956052052 -6.30594398857 4.24182030021
44.4956 -42.1423 35.0 270.110527528 -6.2082925816 4.29125133754
44.829 -42.1423 35.0 270.041647648 -6.36208252395 4.28268967586
45.1624 -42.1423 35.0 270.039913914 -6.39829543012 4.24120119354
45.4959 -42.1423 35.0 270.076924925 -6.37148586356 4.20407521204
45.8293 -42.1423 35.0 270.050428428 -6.37576014451 4.22888278456
46.1627 -42.1423 35.0 269.902405405 -6.36377974014 4.27446738365
46.4961 -42.1423 35.0 269.832524525 -6.46595131471 4.27722462272
46.8295 -42.1423 35.0 269.924532533 -6.24273445344 4.34488088273
47.1629 -42.1423 35.0 270.007784785 -6.33983938146 4.28636438088
47.4963 -42.1423 35.0 269.894491491 -6.43002234159 4.28614157618
47.8298 -42.1423 35.0 269.957812813 -6.49249340655 4.24870131882
48.1632 -42.1423 35.0 270.032315315 -6.47535662853 4.19389716244
48.4966 -42.1423 35.0 270.083500501 -6.39679182892 4.17379169219
-47.5266 -41.4443 35.0 876.12251952 -1488.62575142 -882.093944742
-47.1932 -41.4443 35.0 275.006232232 -126.229347492 -63.2070309704
-46.8598 -41.4443 35.0 248.346131131 -26.3618613317 -4.43822471559
-46.5263 -41.4443 35.0 253.805875876 -13.0022378672 2.63424737708
-46.1929 -41.4443 35.0 264.282912913 -6.32307007889 5.49227590893
-45.8595 -41.4443 35.0 266.720590591 -5.69232683091 5.69525298589
-45.5261 -41.4443 35.0 267.392712713 -5.64464024394 5.7243162457
-45.1927 -41.4443 35.0 267.540615616 -5.94221181622 5.55408709432
-44.8593 -41.4443 35.0 267.478670671 -6.19688501265 5.50732786378
-44.5259 -41.4443 35.0 267.449191191 -6.06862694394 5.5457394433
-44.1924 -41.4443 35.0 267.502108108 -6.00295496217 5.5221213303
-43.859 -41.4443 35.0 267.519239239 -6.1366608622 5.500867089
-43.5256 -41.4443 35.0 267.626864865 -6.1166966999 5.56659423661
-43.1922 -41.4443 35.0 267.550895896 -6.02757053814 5.49608048438
-42.8588 -41.4443 35.0 267.625408408 -5.74250232227 5.42262151263
-42.5254 -41.4443 35.0 267.676558559 -5.84792915913 5.47304687087
-42.192 -41.4443 35.0 267.485363363 -5.946462889 5.46116501694
-41.8586 -41.4443 35.0 267.548827828 -5.98651834175 5.4650020376
-41.5251 -41.4443 35.0 267.611096096 -6.03867636901 5.51332265683
-41.1917 -41.4443 35.0 267.693947948 -6.01989410531 5.44641988889
-40.8583 -41.4443 35.0 267.628892893 -5.81077768487 5.43936818136
-40.5249 -41.4443 35.0 267.496373373 -5.78355262645 5.43568464895
-40.1915 -41.4443 35.0 267.535025025 -5.8641709974 5.47321155012
-39.8581 -41.4443 35.0 267.535403403 -6.05674283982 5.55785899439
-39.5247 -41.4443 35.0 267.480381381 -6.10694315995 5.56820111091
-39.1912 -41.4443 35.0 267.487516517 -6.11345669034 5.57635870858
-38.8578 -41.4443 35.0 267.558371371 -6.05598529917 5.49686527848
-38.5244 -41.4443 35.0 267.620223223 -6.0421303194 5.45802727858
-38.191 -41.4443 35.0 267.549813814 -5.8746883378 5.45356371185
-37.8576 -41.4443 35.0 267.562493493 -5.81675792853 5.46883227788
-37.5242 -41.4443 35.0 267.560597598 -5.91560463714 5.51634006697
-37.1908 -41.4443 35.0 267.549134134 -5.96720776376 5.54759147738
-36.8573 -41.4443 35.0 267.520129129 -6.12066849627 5.50744628508
-36.5239 -41.4443 35.0 267.554357357 -6.0579848864 5.51891898308
-36.1905 -41.4443 35.0 267.625246246 -5.96579299096 5.45397712403
-35.8571 -41.4443 35.0 267.654984985 -5.8595057222 5.39069510457
-35.5237 -41.4443 35.0 267.603076076 -5.79313487278 5.47508154881
-35.1903 -41.4443 35.0 267.565611612 -5.89984952903 5.49017280076
-34.8569 -41.4443 35.0 267.60283984 -5.85340231244 5.47286857395
-34.5234 -41.4443 35.0 267.707616617 -5.83476046376 5.39658725932
-34.19 -41.4443 35.0 267.669475475 -5.85997197602 5.29485986366
-33.8566 -41.4443 35.0 267.66376977 -5.9279496976 5.34941102082
-33.5232 -41.4443 35.0 267.666206206 -5.84229495996 5.41275791081
-33.1898 -41.4443 35.0 267.689039039 -5.87339074509 5.40743280322
-32.8564 -41.4443 35.0 267.677004004 -5.88521436066 5.48863774699
-32.523 -41.4443 35.0 267.67141041 -5.89476701267 5.40564988605
-32.1896 -41.4443 35.0 267.717126126 -5.91456435245 5.37203267969
-31.8561 -41.4443 35.0 267.616777778 -5.79518038438 5.42905584675
-31.5227 -41.4443 35.0 267.636748749 -5.81746978811 5.39903420901
-31.1893 -41.4443 35.0 267.720847848 -5.83099482902 5.40810967526
-30.8559 -41.4443 35.0 267.706796797 -5.81738732467 5.42448362874
-30.5225 -41.4443 35.0 267.733841842 -5.93157915504 5.37510867878
-30.1891 -41.4443 35.0 267.725853854 -6.00609544247 5.44000064307
-29.8557 -41.4443 35.0 267.695488488 -5.97490401772 5.4323913006
-29.5222 -41.4443 35.0 267.751513514 -5.9216550994 5.40910053112
-29.1888 -41.4443 35.0 267.823333333 -5.86838735996 5.3689095367
-28.8554 -41.4443 35.0 267.779418418 -5.8865740014 5.4297651027
-28.522 -41.4443 35.0 267.780273273 -5.95842178959 5.37687841311
-28.1886 -41.4443 35.0 267.801852853 -5.99289526001 5.4011982222
-27.8552 -41.4443 35.0 267.762695696 -5.96612911852 5.45182373151
-27.5218 -41.4443 35.0 267.751521522 -6.15790709019 5.4337988003
-27.1883 -41.4443 35.0 267.759808809 -6.03593284144 5.44721639369
-26.8549 -41.4443 35.0 267.810844845 -5.9648515491 5.44609172523
-26.5215 -41.4443 35.0 267.799826827 -6.03133733449 5.323004777
-26.1881 -41.4443 35.0 267.780682683 -6.12823838672 5.26756436517
-25.8547 -41.4443 35.0 267.774054054 -6.22363494525 5.25966429431
-25.5213 -41.4443 35.0 267.8584004 -6.19818158338 5.24572621481
-25.1879 -41.4443 35.0 267.867755756 -6.23501228543 5.27775653333
-24.8544 -41.4443 35.0 267.868872873 -6.16413904172 5.26762408935
-24.521 -41.4443 35.0 267.874507508 -6.0440689623 5.27144453325
-24.1876 -41.4443 35.0 267.822795796 -5.99238372079 5.26560169159
-23.8542 -41.4443 35.0 267.716570571 -6.12510457706 5.21224006977
-23.5208 -41.4443 35.0 267.815212212 -6.21872633413 5.21451696016
-23.1874 -41.4443 35.0 267.966201201 -6.1105227 5.2510621117
-22.854 -41.4443 35.0 267.969745746 -5.99797632987 5.30989768629
-22.5206 -41.4443 35.0 267.905462462 -6.04331880901 5.34122465932
-22.1871 -41.4443 35.0 267.892905906 -6.06184857601 5.22321189912
-21.8537 -41.4443 35.0 267.913272272 -6.02005111223 5.27468064715
-21.5203 -41.4443 35.0 267.884326326 -6.07388830955 5.29264922888
-21.1869 -41.4443 35.0 267.927535536 -6.12093094014 5.28223464729
-20.8535 -41.4443 35.0 267.841862863 -6.22331956114 5.23244517056
-20.5201 -41.4443 35.0 267.743239239 -6.28580115431 5.1676657366
-20.1867 -41.4443 35.0 267.848942943 -6.18823779834 5.1503686928
-19.8532 -41.4443 35.0 267.891602603 -6.02855140909 5.16678989817
-19.5198 -41.4443 35.0 267.831648649 -6.13371972919 5.06964733696
-19.1864 -41.4443 35.0 267.796186186 -6.2153741316 5.11361172855
-18.853 -41.4443 35.0 267.886791792 -6.31818547558 5.1477473774
-18.5196 -41.4443 35.0 267.90056957 -6.23127645113 5.0694043016
-18.1862 -41.4443 35.0 267.951952953 -6.04175077427 5.17116205966
-17.8528 -41.4443 35.0 267.884828829 -6.18677423448 5.20683645766
-17.5193 -41.4443 35.0 267.899159159 -6.05747449389 5.28337657057
-17.1859 -41.4443 35.0 267.796843844 -5.98358313203 5.19459621158
-16.8525 -41.4443 35.0 267.762388388 -6.05646262311 5.17390670739
-16.5191 -41.4443 35.0 267.842255255 -6.04399046406 5.1064531873
-16.1857 -41.4443 35.0 267.898794795 -6.02776250671 5.08862189469
-15.8523 -41.4443 35.0 267.868146146 -6.11591648104 5.13621490701
-15.5189 -41.4443 35.0 267.831016016 -6.17733968278 5.08748552105
-15.1854 -41.4443 35.0 267.855912913 -6.26512768319 4.99600125047
-14.852 -41.4443 35.0 267.945194194 -6.29843970594 4.92823831134
-14.5186 -41.4443 35.0 267.94218018 -6.31800377887 4.90984521615
-14.1852 -41.4443 35.0 267.982442442 -6.3098792565 5.04733032338
-13.8518 -41.4443 35.0 267.938272272 -6.16025514344 5.10649415328
-13.5184 -41.4443 35.0 267.932241241 -6.08393940343 5.09173143644
-13.185 -41.4443 35.0 267.989167167 -6.08414688464 5.05657719859
-12.8516 -41.4443 35.0 267.989681682 -6.1403302044 5.07174622076
-12.5181 -41.4443 35.0 267.861125125 -6.15743170402 5.15440884494
-12.1847 -41.4443 35.0 267.835309309 -6.02349132382 5.14792919568
-11.8513 -41.4443 35.0 267.891901902 -6.10047245395 5.02747679532
-11.5179 -41.4443 35.0 267.973883884 -6.1556425938 4.98059563476
-11.1845 -41.4443 35.0 268.060595596 -6.16997473615 4.94452483097
-10.8511 -41.4443 35.0 268.032191191 -6.16643054595 4.94407076216
-10.5177 -41.4443 35.0 267.950924925 -6.09138467693 5.01837655254
-10.1842 -41.4443 35.0 267.912782783 -6.25645762715 5.00954398239
-9.85083 -41.4443 35.0 267.967461461 -6.19287026808 4.96449368951
-9.51741 -41.4443 35.0 267.978481481 -6.30855877909 4.92295802262
-9.184 -41.4443 35.0 267.966682683 -6.26906201287 5.0147909976
-8.85059 -41.4443 35.0 268.017437437 -6.22022270192 5.00470821965
-8.51717 -41.4443 35.0 268.079823824 -6.22183839086 4.91656877572
-8.18376 -41.4443 35.0 268.087454454 -6.1024662038 4.89683009364
-7.85034 -41.4443 35.0 268.080522523 -6.16961983842 4.98989601908
-7.51693 -41.4443 35.0 267.909853854 -6.18102808799 5.05654394395
-7.18352 -41.4443 35.0 267.900748749 -6.29723904525 5.10407187487
-6.8501 -41.4443 35.0 267.935106106 -6.290670412 5.07590121599
-6.51669 -41.4443 35.0 267.953828829 -6.1147530977 4.99568797587
-6.18328 -41.4443 35.0 267.972563564 -6.12755425405 4.92838071799
-5.84986 -41.4443 35.0 267.942555556 -6.2897773644 4.87744711133
-5.51645 -41.4443 35.0 267.944602603 -6.19712057838 4.89803941695
-5.18303 -41.4443 35.0 268.045677678 -6.19023890771 4.99664103412
-4.84962 -41.4443 35.0 268.104478478 -6.26704439069 4.99783987427
-4.51621 -41.4443 35.0 268.049411411 -6.29135528468 5.01717778116
-4.18279 -41.4443 35.0 267.963039039 -6.34630074275 4.95033647692
-3.84938 -41.4443 35.0 268.000674675 -6.42082476393 4.93926606466
-3.51597 -41.4443 35.0 267.991568569 -6.36858699172 4.96932023484
-3.18255 -41.4443 35.0 268.011391391 -6.20770686907 4.91679624005
-2.84914 -41.4443 35.0 268.056271271 -6.18467627918 4.88571538593
-2.51572 -41.4443 35.0 267.970936937 -6.18998106675 4.90962485826
-2.18231 -41.4443 35.0 267.887598599 -6.26725693375 4.95134873306
-1.8489 -41.4443 35.0 267.902831832 -6.25788118064 4.94849153595
-1.51548 -41.4443 35.0 267.922177177 -6.25592702082 4.95317454755
-1.18207 -41.4443 35.0 268.02815015 -6.34656853796 4.80420353447
-0.848655 -41.4443 35.0 268.068298298 -6.2131081 4.79640677798
-0.515241 -41.4443 35.0 268.058674675 -6.28788213446 4.90668856543
-0.181828 -41.4443 35.0 268.00414014 -6.33224135087 4.94333115398
0.151586 -41.4443 35.0 267.904295295 -6.2800541562 4.88917138416
0.485 -41.4443 35.0 268.012089089 -6.20144861271 4.87055318709
0.818414 -41.4443 35.0 268.012475475 -6.29122652581 4.81467644238
1.15183 -41.4443 35.0 268.161363363 -6.35187706256 4.7433551207
1.48524 -41.4443 35.0 268.097554555 -6.42034343423 4.8055206987
1.81866 -41.4443 35.0 268.191101101 -6.38054241865 4.78876027401
2.15207 -41.4443 35.0 268.084640641 -6.29249985045 4.87573231111
2.48548 -41.4443 35.0 267.997756757 -6.35242618063 4.84210666716
2.8189 -41.4443 35.0 268.035950951 -6.41969102707 4.84158209073
3.15231 -41.4443 35.0 268.204520521 -6.32620329851 4.72500047418
3.48572 -41.4443 35.0 268.251804805 -6.28246247067 4.70298020296
3.81914 -41.4443 35.0 268.181964965 -6.34459253704 4.71102671473
4.15255 -41.4443 35.0 268.190399399 -6.34711871752 4.67828144615
4.48597 -41.4443 35.0 268.001560561 -6.31808205596 4.81387408314
4.81938 -41.4443 35.0 268.00537037 -6.37457111602 4.87430852911
5.15279 -41.4443 35.0 268.111123123 -6.41289430581 4.80791291829
5.48621 -41.4443 35.0 268.162346346 -6.44462673626 4.83014843801
5.81962 -41.4443 35.0 268.29137037 -6.36066182906 4.81110894123
6.15303 -41.4443 35.0 268.223172172 -6.27980857601 4.80447051037
6.48645 -41.4443 35.0 268.220706707 -6.45558592757 4.71158599925
6.81986 -41.4443 35.0 268.156043043 -6.4450226229 4.77368594917
7.15328 -41.4443 35.0 268.121322322 -6.27853783153 4.92702984228
7.48669 -41.4443 35.0 268.199598599 -6.3440469033 4.9632317952
7.8201 -41.4443 35.0 268.368389389 -6.28196792266 4.84974836106
8.15352 -41.4443 35.0 268.379457457 -6.14159602893 4.8458855298
8.48693 -41.4443 35.0 268.326695696 -6.19158818989 4.66515163617
8.82034 -41.4443 35.0 268.184510511 -6.30515410682 4.56597576617
9.15376 -41.4443 35.0 268.151078078 -6.36570365872 4.64736341239
9.48717 -41.4443 35.0 268.141076076 -6.35035183043 4.66394068829
9.82059 -41.4443 35.0 268.327973974 -6.29224260921 4.65444862776
10.154 -41.4443 35.0 268.460590591 -6.37047237052 4.62714955101
10.4874 -41.4443 35.0 268.544381381 -6.33931293002 4.69354093175
10.8208 -41.4443 35.0 268.386404404 -6.4483144041 4.67362838934
11.1542 -41.4443 35.0 268.187424424 -6.48320990168 4.66851717397
11.4877 -41.4443 35.0 268.152303303 -6.52611825283 4.66945884414
11.8211 -41.4443 35.0 268.323975976 -6.40033010976 4.65421984546
12.1545 -41.4443 35.0 268.457504505 -6.43145681091 4.71794721391
12.4879 -41.4443 35.0 268.499301301 -6.29898897973 4.66062617022
12.8213 -41.4443 35.0 268.485620621 -6.40822628434 4.67744952249
13.1547 -41.4443 35.0 268.366914915 -6.46100104955 4.59968121912
13.4881 -41.4443 35.0 268.277665666 -6.34721360741 4.57993162335
13.8216 -41.4443 35.0 268.248656657 -6.34873722182 4.57346820133
14.155 -41.4443 35.0 268.174098098 -6.42909897227 4.60950204864
14.4884 -41.4443 35.0 268.300253253 -6.31169166893 4.5617261019
14.8218 -41.4443 35.0 268.541445445 -6.35632952823 4.54216466291
15.1552 -41.4443 35.0 268.626993994 -6.38820620801 4.51209434238
15.4886 -41.4443 35.0 268.624173173 -6.30571806752 4.51397834376
15.822 -41.4443 35.0 268.494624625 -6.30662267992 4.51231864396
16.1554 -41.4443 35.0 268.186057057 -6.3826846114 4.50202628105
16.4889 -41.4443 35.0 268.278520521 -6.47322880116 4.53358677008
16.8223 -41.4443 35.0 268.459306306 -6.48423134404 4.55844872623
17.1557 -41.4443 35.0 268.670620621 -6.49334596612 4.43876658139
17.4891 -41.4443 35.0 268.714323323 -6.48191451874 4.49688378258
17.8225 -41.4443 35.0 268.556970971 -6.4996550258 4.52134805819
18.1559 -41.4443 35.0 268.369757758 -6.4346728681 4.56831024173
18.4893 -41.4443 35.0 268.252412412 -6.3769463905 4.51613616136
18.8228 -41.4443 35.0 268.329254254 -6.22098443598 4.51241662871
19.1562 -41.4443 35.0 268.43584985 -6.31638747877 4.53802571431
19.4896 -41.4443 35.0 268.570163163 -6.4416879966 4.51719377678
19.823 -41.4443 35.0 268.726462462 -6.54519599369 4.47000333594
20.1564 -41.4443 35.0 268.543002002 -6.47321551842 4.53659145589
20.4898 -41.4443 35.0 268.413943944 -6.32612785245 4.54821855167
20.8232 -41.4443 35.0 268.393244244 -6.37652182863 4.48998642863
21.1567 -41.4443 35.0 268.418062062 -6.38462177947 4.53563596368
21.4901 -41.4443 35.0 268.444082082 -6.48686968373 4.49027186147
21.8235 -41.4443 35.0 268.650633634 -6.52806272202 4.45460895043
22.1569 -41.4443 35.0 268.755208208 -6.58617771575 4.39739952814
22.4903 -41.4443 35.0 268.789107107 -6.58476902472 4.45404355295
22.8237 -41.4443 35.0 268.663313313 -6.41024686274 4.44159799987
23.1571 -41.4443 35.0 268.579389389 -6.40784646082 4.39508720651
23.4906 -41.4443 35.0 268.585408408 -6.44607220131 4.39407202185
23.824 -41.4443 35.0 268.639383383 -6.40306021497 4.42074644044
24.1574 -41.4443 35.0 268.640624625 -6.42728048588 4.4003830985
24.4908 -41.4443 35.0 268.697367367 -6.41953762322 4.48928456547
24.8242 -41.4443 35.0 268.754895896 -6.35523874281 4.44836714755
25.1576 -41.4443 35.0 268.779021021 -6.32675708584 4.38034112723
25.491 -41.4443 35.0 268.712757758 -6.43283736622 4.29308621343
25.8244 -41.4443 35.0 268.687750751 -6.46003267096 4.32989748619
26.1579 -41.4443 35.0 268.698167167 -6.39051730361 4.45270138119
26.4913 -41.4443 35.0 268.769046046 -6.41574133555 4.42275317447
26.8247 -41.4443 35.0 268.844941942 -6.39528661682 4.39587156436
27.1581 -41.4443 35.0 268.886087087 -6.38114404725 4.38151115581
27.4915 -41.4443 35.0 268.76460961 -6.3185849564 4.43342606176
27.8249 -41.4443 35.0 268.69375976 -6.24074250711 4.45587254635
28.1583 -41.4443 35.0 268.746931932 -6.27274002593 4.43424873074
28.4918 -41.4443 35.0 268.644807808 -6.24092333122 4.43524433353
28.8252 -41.4443 35.0 268.668658659 -6.15273179123 4.46629506987
29.1586 -41.4443 35.0 268.790725726 -6.12484347264 4.44529506453
29.492 -41.4443 35.0 268.834833834 -6.19344158653 4.38638193266
29.8254 -41.4443 35.0 268.816915916 -6.36100901972 4.33080658118
30.1588 -41.4443 35.0 268.70547047 -6.41758567257 4.36782684423
30.4922 -41.4443 35.0 268.61873974 -6.38467034505 4.35701282174
30.8257 -41.4443 35.0 268.724087087 -6.43584238739 4.43940953353
31.1591 -41.4443 35.0 268.794369369 -6.43893425814 4.4504333974
31.4925 -41.4443 35.0 268.907516517 -6.32501088909 4.4397551013
31.8259 -41.4443 35.0 268.87542042 -6.32368240324 4.39435543616
32.1593 -41.4443 35.0 268.825184184 -6.29142867227 4.49143245505
32.4927 -41.4443 35.0 268.713251251 -6.21491261171 4.49575305526
32.8261 -41.4443 35.0 268.740264264 -6.32506604885 4.45664844044
33.1596 -41.4443 35.0 268.763646647 -6.41000137877 4.30487901929
33.493 -41.4443 35.0 268.731429429 -6.5476554661 4.2442814979
33.8264 -41.4443 35.0 268.803061061 -6.63726667345 4.27529856106
34.1598 -41.4443 35.0 268.941987988 -6.49729026303 4.25786221471
34.4932 -41.4443 35.0 268.929433433 -6.36206470762 4.33279991542
34.8266 -41.4443 35.0 268.930634635 -6.29151925135 4.3416565029
35.16 -41.4443 35.0 268.791791792 -6.31464466148 4.29205627669
35.4934 -41.4443 35.0 268.782307307 -6.3475418033 4.25426768538
35.8269 -41.4443 35.0 268.805657658 -6.45204880509 4.21358694341
36.1603 -41.4443 35.0 268.90504004 -6.54884965696 4.31658293594
36.4937 -41.4443 35.0 268.967134134 -6.55749155095 4.35637659391
36.8271 -41.4443 35.0 269.014175175 -6.3883336045 4.33879460741
37.1605 -41.4443 35.0 269.039925926 -6.43074188383 4.29247021672
37.4939 -41.4443 35.0 268.96257958 -6.44642777658 4.31525338656
37.8273 -41.4443 35.0 268.991311311 -6.33691322332 4.28248354488
38.1608 -41.4443 35.0 268.909476476 -6.2910601317 4.29979374198
38.4942 -41.4443 35.0 269.000640641 -6.41652174837 4.30245269936
38.8276 -41.4443 35.0 269.009385385 -6.44415919551 4.29080256959
39.161 -41.4443 35.0 269.03255956 -6.4047617 4.27090267591
39.4944 -41.4443 35.0 269.042464464 -6.33965800629 4.25763278948
39.8278 -41.4443 35.0 269.010966967 -6.38511083391 4.21561144456
40.1612 -41.4443 35.0 269.012747748 -6.34075977675 4.23624643528
40.4947 -41.4443 35.0 269.066027027 -6.17576234204 4.29651953834
40.8281 -41.4443 35.0 268.972850851 -6.24160488398 4.31442974317
