TITLE="mean" 
Variables="X","Y","Z","VX","VY","VZ"
ZONE T="0", I=289, J=214, SOLUTIONTIME=0
-19.1864 -81.232 35.0 3624.22347347 -6808.36590591 1898.01382026
-18.853 -81.232 35.0 3564.54105105 -6686.85957958 1831.45359523
-18.5196 -81.232 35.0 3529.46697698 -6619.41114114 1781.99829508
-18.1862 -81.232 35.0 3551.93670671 -6667.04870871 1821.18001342
-17.8528 -81.232 35.0 3581.89660661 -6728.68217217 1858.48634979
-17.5193 -81.232 35.0 3543.15072072 -6650.46072072 1833.73484355
-17.1859 -81.232 35.0 3491.50122122 -6546.67412412 1772.09637473
-16.8525 -81.232 35.0 3466.98765766 -6497.73033033 1746.03948244
-16.5191 -81.232 35.0 3485.98193193 -6537.56907908 1749.9339068
-16.1857 -81.232 35.0 3541.9146046 -6649.16389389 1826.03363645
-15.8523 -81.232 35.0 3603.81672673 -6776.174004 1900.1871822
-15.5189 -81.232 35.0 3635.18277277 -6839.52341341 1936.85534
-15.1854 -81.232 35.0 3621.52641642 -6812.55935936 1919.68957903
-14.852 -81.232 35.0 3561.18043043 -6691.26733734 1836.53354557
-14.5186 -81.232 35.0 3522.87477477 -6616.91603604 1770.96931661
-14.1852 -81.232 35.0 3547.48831832 -6666.74614615 1809.68530936
-13.8518 -81.232 35.0 3578.50682683 -6730.12853854 1861.18935391
-13.5184 -81.232 35.0 3545.76543544 -6662.23239239 1837.88350434
-13.185 -81.232 35.0 3501.9235035 -6577.68818819 1765.96835808
-12.8516 -81.232 35.0 3476.54818819 -6526.20141141 1744.80697189
-12.5181 -81.232 35.0 3483.30715716 -6539.61882883 1741.13477679
-12.1847 -81.232 35.0 3516.45810811 -6606.50508509 1791.08942705
-11.8513 -81.232 35.0 3558.0126026 -6692.92936937 1850.57820642
-11.5179 -81.232 35.0 3603.92404404 -6786.39001001 1909.66105503
-11.1845 -81.232 35.0 3624.3060961 -6830.23013013 1908.12112007
-10.8511 -81.232 35.0 3566.68485485 -6713.05428428 1840.19432045
-10.5177 -81.232 35.0 3529.66258258 -6641.81073073 1786.79900861
-10.1842 -81.232 35.0 3552.60121121 -6687.19617618 1830.33349275
-9.85083 -81.232 35.0 3593.99339339 -6774.3911011 1887.50956795
-9.51741 -81.232 35.0 3567.71124124 -6719.59284284 1887.00528885
-9.184 -81.232 35.0 3536.62815816 -6659.19238238 1827.68568987
-8.85059 -81.232 35.0 3520.29426426 -6627.05806807 1795.46077765
-8.51717 -81.232 35.0 3519.79027027 -6628.30029029 1776.95165767
-8.18376 -81.232 35.0 3517.38309309 -6623.3503003 1796.35194665
-7.85034 -81.232 35.0 3534.073003 -6657.45746747 1817.44172825
-7.51693 -81.232 35.0 3562.11338338 -6710.83656657 1891.78684064
-7.18352 -81.232 35.0 3575.65078078 -6739.58665666 1915.74808855
-6.8501 -81.232 35.0 3534.17986987 -6654.76214214 1885.32075866
-6.51669 -81.232 35.0 3502.16339339 -6592.28241241 1843.00763954
-6.18328 -81.232 35.0 3506.12493493 -6600.36434434 1850.78753052
-5.84986 -81.232 35.0 3529.58019019 -6650.12981982 1869.33773173
-5.51645 -81.232 35.0 3514.14002002 -6618.81643644 1853.69057134
-5.18303 -81.232 35.0 3496.82988989 -6585.88931932 1808.31705422
-4.84962 -81.232 35.0 3465.17590591 -6520.8075976 1781.83123048
-4.51621 -81.232 35.0 3454.03578579 -6499.26915916 1758.89710827
-4.18279 -81.232 35.0 3444.17598599 -6480.09092092 1755.07368801
-3.84938 -81.232 35.0 3453.2854955 -6499.81412412 1776.79228354
-3.51597 -81.232 35.0 3491.21461461 -6574.55970971 1838.17937749
-3.18255 -81.232 35.0 3529.01244244 -6651.63119119 1878.61237645
-2.84914 -81.232 35.0 3507.43930931 -6607.67986987 1857.00215536
-2.51572 -81.232 35.0 3491.92775776 -6576.16034034 1832.87823285
-2.18231 -81.232 35.0 3482.45443443 -6556.02477477 1826.36644564
-1.8489 -81.232 35.0 3480.26002002 -6554.07292292 1826.43315719
-1.51548 -81.232 35.0 3466.78527528 -6527.81205205 1828.06370365
-1.18207 -81.232 35.0 3455.62813814 -6505.89792793 1806.59528319
-0.848655 -81.232 35.0 3436.51578579 -6465.12612613 1789.65300147
-0.515241 -81.232 35.0 3415.58008008 -6423.13942943 1770.24265039
-0.181828 -81.232 35.0 3407.83848849 -6409.29058058 1768.3478871
0.151586 -81.232 35.0 3429.15881882 -6454.78247247 1778.86954095
0.485 -81.232 35.0 3455.87958959 -6509.05477477 1825.26046633
0.818414 -81.232 35.0 3476.65840841 -6552.32132132 1843.31343378
1.15183 -81.232 35.0 3466.02277277 -6529.79161161 1824.40285034
1.48524 -81.232 35.0 3456.22577578 -6509.94768769 1805.92154998
1.81866 -81.232 35.0 3426.64502503 -6447.14403403 1773.54849877
2.15207 -81.232 35.0 3406.91372372 -6409.66344344 1758.39411558
2.48548 -81.232 35.0 3406.6877978 -6409.78783784 1768.31649644
2.8189 -81.232 35.0 3414.62233233 -6427.95861862 1760.52093925
3.15231 -81.232 35.0 3408.16697698 -6414.15885886 1741.5220683
3.48572 -81.232 35.0 3401.9138038 -6407.92259259 1702.17187306
3.81914 -81.232 35.0 3387.59837838 -6377.65958959 1688.14437841
4.15255 -81.232 35.0 3406.97046046 -6416.08307307 1720.14517423
4.48597 -81.232 35.0 3414.41528529 -6427.04538539 1752.73772808
4.81938 -81.232 35.0 3416.24187187 -6431.34648649 1765.87739733
5.15279 -81.232 35.0 3413.89323323 -6428.20241241 1777.01116647
5.48621 -81.232 35.0 3407.14078078 -6415.80418418 1761.50159879
5.81962 -81.232 35.0 3348.3051952 -6288.35797798 1706.62984725
6.15303 -81.232 35.0 3342.51711712 -6286.89498498 1681.69706565
6.48645 -81.232 35.0 3335.47554555 -6270.44900901 1682.51780246
6.81986 -81.232 35.0 3346.73726727 -6294.81097097 1700.76391454
7.15328 -81.232 35.0 3324.11654655 -6246.94105105 1691.96666831
7.48669 -81.232 35.0 3294.79588589 -6188.9818018 1642.8510571
7.8201 -81.232 35.0 3243.70714715 -6082.70024024 1588.69083592
8.15352 -81.232 35.0 3278.27547548 -6151.83223223 1626.52113518
8.48693 -81.232 35.0 3274.71623624 -6140.5014014 1623.21906145
8.82034 -81.232 35.0 3292.49194194 -6176.14862863 1637.79093311
9.15376 -81.232 35.0 3299.36703704 -6189.91007007 1645.7375808
9.48717 -81.232 35.0 3281.29946947 -6150.3894995 1613.33690251
9.82059 -81.232 35.0 3177.08863864 -5925.52074074 1480.26284995
10.154 -81.232 35.0 3108.7664965 -5783.52533534 1375.84853634
